id,is_deleted,created_at,object_type,cospar_id,norad_id,name,name_official,expected_lifetime,purposes,contractor,launch,mass,geometry,orbital_elements,propulsion,object_sub_type,operators,reentry_date,current_space_object_version_id,discos_id,updated_at,vimple_id,is_manoeuvrable,is_operational,radar_cross_section
01GZDY4WDSB7HP82D7SXY8AJCG,False,2023-05-02 09:54:23.290579+00:00,satellite,1998-026B,25320,IRIDIUM 71,,,[],,,,"{'Span': {'Value': 3, 'IsComputed': True}, 'Shape': None, 'Width': None, 'Height': None, 'Length': None, 'Diameter': None, 'DragArea': None, 'DragCoefficient': None, 'RateOfAbsorption': None, 'BoxAndSolarPanels': None, 'SolarRadiationArea': None, 'CrossSectionAverage': None, 'CrossSectionMaximum': None, 'CrossSectionMinimum': None, 'AbsorptionCoefficient': None, 'ReflectivityCoefficient': None}",,,,[],,01GZDY4WE22H99MZR7MADWKZX1,,2023-05-02 09:54:23.290579+00:00,,,,
01GZKZ0PZ4AK11HP67YZT6RN5H,False,2023-05-04 18:05:04.215930+00:00,satellite,2023-058AA,56341,STARLINK-5543,,,[],,,,"{'Span': {'Value': 3, 'IsComputed': True}, 'Shape': None, 'Width': None, 'Height': None, 'Length': None, 'Diameter': None, 'DragArea': None, 'DragCoefficient': None, 'RateOfAbsorption': None, 'BoxAndSolarPanels': None, 'SolarRadiationArea': None, 'CrossSectionAverage': None, 'CrossSectionMaximum': None, 'CrossSectionMinimum': None, 'AbsorptionCoefficient': None, 'ReflectivityCoefficient': None}",,,,[],,01GZKZ0V5Q9DN6PDX0B22VWP3S,,2023-05-04 18:05:04.215930+00:00,,,,
01G9MZ1HVG16FJ4JG485DZ02V5,False,2022-08-04 17:39:23.633227+00:00,debris,1999-025BZZ,31619,FENGYUN 1C DEB,,,[],,,,"{'Span': {'Value': 3, 'IsComputed': True}, 'Shape': None, 'Width': None, 'Height': None, 'Length': None, 'Diameter': None, 'DragArea': None, 'DragCoefficient': None, 'RateOfAbsorption': None, 'BoxAndSolarPanels': None, 'SolarRadiationArea': None, 'CrossSectionAverage': None, 'CrossSectionMaximum': None, 'CrossSectionMinimum': None, 'AbsorptionCoefficient': None, 'ReflectivityCoefficient': None}",,,,,,01GVJPMH290VQQY2B6KYA70TCF,,2023-03-15 13:16:32.200793+00:00,,,,
01GARKAX28AAHK783K4EHMHGVE,False,2022-08-18 13:47:26.666316+00:00,debris,1961-015BP,231,Thor Ablestar fragmentation debris,,,[],,"{'Date': '1961-06-29T04:22:00+00:00', 'Site': 'Kennedy Space Center (ETR)', 'Vehicle': 'Thor-Ablestar', 'CosparLaunchNo': '1961-015'}",,"{'Span': {'Value': 1, 'IsComputed': True}, 'Shape': None, 'Width': None, 'Height': None, 'Length': None, 'Diameter': None, 'DragArea': None, 'DragCoefficient': None, 'RateOfAbsorption': None, 'BoxAndSolarPanels': None, 'SolarRadiationArea': None, 'CrossSectionAverage': None, 'CrossSectionMaximum': None, 'CrossSectionMinimum': None, 'AbsorptionCoefficient': None, 'ReflectivityCoefficient': None}",,,rocket_fragmentation_debris,"[{'Name': 'United States Air Force', 'Country': 'United States'}]",1965-02-13 00:00:00+00:00,01GVJPMH291S5YRYR35KJ2HQFH,,2023-03-15 13:16:32.200793+00:00,,,,
01GARKAX4G01C965Q9MEZS1E27,False,2022-08-18 13:47:26.738161+00:00,debris,1961-015BQ,232,Thor Ablestar fragmentation debris,,,[],,"{'Date': '1961-06-29T04:22:00+00:00', 'Site': 'Kennedy Space Center (ETR)', 'Vehicle': 'Thor-Ablestar', 'CosparLaunchNo': '1961-015'}",,"{'Span': {'Value': 1, 'IsComputed': True}, 'Shape': None, 'Width': None, 'Height': None, 'Length': None, 'Diameter': None, 'DragArea': None, 'DragCoefficient': None, 'RateOfAbsorption': None, 'BoxAndSolarPanels': None, 'SolarRadiationArea': None, 'CrossSectionAverage': None, 'CrossSectionMaximum': None, 'CrossSectionMinimum': None, 'AbsorptionCoefficient': None, 'ReflectivityCoefficient': None}",,,rocket_fragmentation_debris,"[{'Name': 'United States Air Force', 'Country': 'United States'}]",,01GVJPMH29JG3JPA7ZGW005QHT,,2023-03-15 13:16:32.200793+00:00,,,,
01GZKZ0PZA9W4EVZKS1M30CJ9M,False,2023-05-04 18:05:04.215527+00:00,satellite,2023-058AD,56344,STARLINK-5974,,,[],,,,"{'Span': {'Value': 3, 'IsComputed': True}, 'Shape': None, 'Width': None, 'Height': None, 'Length': None, 'Diameter': None, 'DragArea': None, 'DragCoefficient': None, 'RateOfAbsorption': None, 'BoxAndSolarPanels': None, 'SolarRadiationArea': None, 'CrossSectionAverage': None, 'CrossSectionMaximum': None, 'CrossSectionMinimum': None, 'AbsorptionCoefficient': None, 'ReflectivityCoefficient': None}",,,,[],,01GZKZ0SM1C59RWB6ZR2ZZ96G7,,2023-05-04 18:05:04.215527+00:00,,,,
01GARKAXA6BHH1C9WVXAFKHQ8W,False,2022-08-18 13:47:26.919576+00:00,debris,1961-015BS,234,Thor Ablestar fragmentation debris,,,[],,"{'Date': '1961-06-29T04:22:00+00:00', 'Site': 'Kennedy Space Center (ETR)', 'Vehicle': 'Thor-Ablestar', 'CosparLaunchNo': '1961-015'}",,"{'Span': {'Value': 1, 'IsComputed': True}, 'Shape': None, 'Width': None, 'Height': None, 'Length': None, 'Diameter': None, 'DragArea': None, 'DragCoefficient': None, 'RateOfAbsorption': None, 'BoxAndSolarPanels': None, 'SolarRadiationArea': None, 'CrossSectionAverage': None, 'CrossSectionMaximum': None, 'CrossSectionMinimum': None, 'AbsorptionCoefficient': None, 'ReflectivityCoefficient': None}",,,rocket_fragmentation_debris,"[{'Name': 'United States Air Force', 'Country': 'United States'}]",,01GVJPMH29XQEEXTQCCVHP79A8,,2023-03-15 13:16:32.200793+00:00,,,,
01GBWT03CKBCQF7BE4K4JKY0Y8,False,2022-09-01 15:16:32.276444+00:00,satellite,2022-062AH,52861,STARLINK-4112,,,[],,,,"{'Span': {'Value': 3, 'IsComputed': True}, 'Shape': None, 'Width': None, 'Height': None, 'Length': None, 'Diameter': None, 'DragArea': None, 'DragCoefficient': None, 'RateOfAbsorption': None, 'BoxAndSolarPanels': None, 'SolarRadiationArea': None, 'CrossSectionAverage': None, 'CrossSectionMaximum': None, 'CrossSectionMinimum': None, 'AbsorptionCoefficient': None, 'ReflectivityCoefficient': None}",,,,[],,01GVJPMH29HHE8Y49C9109R52T,,2023-03-15 13:16:32.200793+00:00,,,,
01G9MXREXE0J03AXXEV39Q6E8A,False,2022-08-04 17:16:57.135757+00:00,debris,1995-015BQ,40472,DMSP 5D-2 F13 DEB,,,[],,,,"{'Span': {'Value': 3, 'IsComputed': True}, 'Shape': None, 'Width': None, 'Height': None, 'Length': None, 'Diameter': None, 'DragArea': None, 'DragCoefficient': None, 'RateOfAbsorption': None, 'BoxAndSolarPanels': None, 'SolarRadiationArea': None, 'CrossSectionAverage': None, 'CrossSectionMaximum': None, 'CrossSectionMinimum': None, 'AbsorptionCoefficient': None, 'ReflectivityCoefficient': None}",,,,,,01GVJPMH29CZVXT5ZDFY89DCYK,,2023-03-15 13:16:32.200793+00:00,,,,
01G9MXRR5C4T4NQS2W6E05FA3H,False,2022-08-04 17:17:06.605098+00:00,debris,1999-025CPN,31985,FENGYUN 1C DEB,,,[],,,,"{'Span': {'Value': 3, 'IsComputed': True}, 'Shape': None, 'Width': None, 'Height': None, 'Length': None, 'Diameter': None, 'DragArea': None, 'DragCoefficient': None, 'RateOfAbsorption': None, 'BoxAndSolarPanels': None, 'SolarRadiationArea': None, 'CrossSectionAverage': None, 'CrossSectionMaximum': None, 'CrossSectionMinimum': None, 'AbsorptionCoefficient': None, 'ReflectivityCoefficient': None}",,,,,,01GVJPMH292RW1XVZZA4Q376MM,,2023-03-15 13:16:32.200793+00:00,,,,
